term_key,observed_count,rule_type,stage_major,stage_detail,normalized_stage,age_min_years,age_max_years,dist_family,dist_mean_years,dist_sd_years,confidence,normalization_action,notes
college,2,education_proxy,Contextual,EducationProxy,Contextual-EducationProxy,18.0,24,normal,20.5,1.5,low,cautious_map,Too terse to be high confidence
university students,2,education_proxy,Contextual,EducationProxy,Contextual-EducationProxy,18.0,25,normal,21.5,2.0,medium,cautious_map,Education proxy
undergraduate students,5,education_proxy,Contextual,EducationProxy,Contextual-EducationProxy,18.0,24,normal,20.5,1.5,medium,cautious_map,Education proxy
undergraduates,5,education_proxy,Contextual,EducationProxy,Contextual-EducationProxy,18.0,24,normal,20.5,1.5,medium,cautious_map,Education proxy
postsecondary,1,education_proxy,Contextual,EducationProxy,Contextual-EducationProxy,17.0,25,normal,20.5,2.0,medium,cautious_map,Education-system proxy
freshmen,1,education_proxy,Contextual,EducationProxy,Contextual-EducationProxy,18.0,20,normal,18.8,0.8,medium,cautious_map,Education proxy; first-year college assumption
first-year college students,2,education_proxy,Contextual,EducationProxy,Contextual-EducationProxy,18.0,20,normal,18.8,0.8,medium,cautious_map,Education proxy; first-year college assumption
first-year osteopathic medical students,1,education_proxy,Contextual,EducationProxy,Contextual-EducationProxy,21.0,28,normal,24.0,1.8,medium,cautious_map,Older student subgroup; medical-school context
university,1,education_proxy,Contextual,EducationProxy,Contextual-EducationProxy,18.0,25,normal,21.5,2.0,low,cautious_map,Very terse education proxy
young,7,contextual_stage,Contextual,Young,Contextual-Young,13.0,30,normal,21.0,5.0,low,cautious_map,Too vague to force to one stage
middle-aged,9,direct_stage,Adult,MiddleAged,Adult-MiddleAged,45.0,64,truncnorm,54.0,5.0,high,direct_map,Direct middle-aged wording
midlife,1,direct_stage,Adult,MiddleAged,Adult-MiddleAged,45.0,64,truncnorm,54.0,5.0,high,direct_map,Midlife synonym
working age,4,contextual_stage,Contextual,WorkingAge,Contextual-WorkingAge,18.0,64,normal,41.0,12.0,low,cautious_map,Contextual adult band; broad labor-force term
childbearing age,2,contextual_stage,Contextual,ChildbearingAge,Contextual-ChildbearingAge,18.0,45,normal,31.0,7.0,low,cautious_map,Sex-specific contextual age term
perimenopausal,1,contextual_stage,Contextual,MenopausalTransition,Contextual-MenopausalTransition,45.0,55,normal,50.0,3.0,low,cautious_map,Biological transition proxy
climacteric,1,contextual_stage,Contextual,MenopausalTransition,Contextual-MenopausalTransition,45.0,55,normal,50.0,3.0,low,cautious_map,Biological transition proxy
late-life,2,contextual_stage,Adult,LateLife,Adult-LateLife,65.0,85,normal,74.0,6.0,low,cautious_map,Broad late-life wording
late-life adults,1,contextual_stage,Adult,LateLife,Adult-LateLife,65.0,85,normal,74.0,6.0,medium,cautious_map,Late-life phrase with adult anchor
nonagenarians,1,direct_stage,Adult,Nonagenarian,Adult-Nonagenarian,90.0,99,truncnorm,94.0,2.0,high,direct_map,Direct late-life stage
children and adolescents,9,mixture,Mixed,Child+Adolescent,Mixed-Child+Adolescent,6.0,17,mixture,11.5,3.2,low,cautious_map,Two adjacent life-course groups combined
child and adolescent,2,mixture,Mixed,Child+Adolescent,Mixed-Child+Adolescent,6.0,17,mixture,11.5,3.2,low,cautious_map,Singular/plural variant of mixed child-adolescent group
adolescents and young adults,5,mixture,Mixed,Adolescent+YoungAdult,Mixed-Adolescent+YoungAdult,13.0,25,mixture,19.0,3.5,low,cautious_map,AYA-style combined group
"young adults, older adults, older adults with cvrf",1,mixture,Mixed,YoungAdult+OlderAdult,Mixed-YoungAdult+OlderAdult,18.0,85,mixture,65.0,18.0,very_low,manual_review,Multi-cohort wording with additional disease-risk qualifier
"younger-age cohorts, older adults",1,mixture,Mixed,Younger+Older,Mixed-Younger+Older,,,manual_review,,,very_low,manual_review,Needs manual review; cohort wording is too underspecified
adolescents and parents,1,contaminated_mixture,Mixed,Adolescent+Adult_Role,Mixed-Adolescent+Adult_Role,, ,manual_review,,,very_low,manual_review,Age term contaminated by non-age role group
children and teachers,1,contaminated_mixture,Mixed,Child+Adult_Role,Mixed-Child+Adult_Role,, ,manual_review,,,very_low,manual_review,Age term contaminated by non-age role group
early-onset,2,noise,Noise,NonAge,Noise-NonAge,, ,manual_review,,,very_low,manual_review,Disease-course descriptor rather than age term
